rmsd_before=12.077844649409926, rmsd_after=1.1144752438432197
rmsd_before=11.86776686555755, rmsd_after=1.06623814382286
rmsd_before=11.902936098688562, rmsd_after=1.0775650808825197
rmsd_before=11.736617719269459, rmsd_after=1.1330734907322242
rmsd_before=11.784124433713899, rmsd_after=1.1083810779738232
rmsd_before=11.778121512763226, rmsd_after=1.0960324595678472
rmsd_before=11.784308836941182, rmsd_after=1.090695225021978
rmsd_before=11.728826083499754, rmsd_after=0.8917330403143929
rmsd_before=11.714381072080544, rmsd_after=0.9192768849832234
rmsd_before=11.7001070286262, rmsd_after=0.9216351919135524
rmsd_before=11.743098885469541, rmsd_after=0.957573519559695
rmsd_before=11.847520158693822, rmsd_after=0.8918106945105815
rmsd_before=11.876126213951622, rmsd_after=0.9307100436639086
rmsd_before=11.947802168296812, rmsd_after=0.8518865590033204
rmsd_before=11.931135776739081, rmsd_after=0.9191944211636176
rmsd_before=11.870464348817126, rmsd_after=0.8815574407939675
rmsd_before=11.82678890838102, rmsd_after=0.9826891751643605
rmsd_before=11.689968297110681, rmsd_after=0.9632312905871793
rmsd_before=11.67557903655989, rmsd_after=1.0740659027461779
rmsd_before=11.595989688622536, rmsd_after=1.0208783856600947
rmsd_before=11.657484093845268, rmsd_after=0.9664323460332912
rmsd_before=11.739914396441993, rmsd_after=1.0172476813600193
rmsd_before=11.818544933342915, rmsd_after=0.979819318410664
rmsd_before=11.876930781554151, rmsd_after=1.0091922926835128
rmsd_before=11.923210363669497, rmsd_after=0.9847544570748297
rmsd_before=11.974056946445613, rmsd_after=0.995518247492525
rmsd_before=11.994289785890484, rmsd_after=0.9372964106355844
rmsd_before=12.08854107383753, rmsd_after=0.9873459320032377
rmsd_before=12.134388681202738, rmsd_after=0.9683677835966953
rmsd_before=12.271283782203769, rmsd_after=1.0389792853661841
rmsd_before=12.364301043601966, rmsd_after=0.971386365027128
rmsd_before=12.489447070138707, rmsd_after=1.0278822810344226
rmsd_before=12.585247990570041, rmsd_after=0.9229660510826531
rmsd_before=12.508831340352485, rmsd_after=0.7676526564105595
rmsd_before=12.599592482279965, rmsd_after=0.5707455854483491
rmsd_before=12.63439637373974, rmsd_after=0.4839216355727479
rmsd_before=12.712157985426037, rmsd_after=0.4574673598071438
rmsd_before=12.862126388957732, rmsd_after=0.57383863956891
rmsd_before=12.989570946896086, rmsd_after=0.6443985764338526
rmsd_before=13.117181503899817, rmsd_after=0.7239406929227907
rmsd_before=13.308228005918973, rmsd_after=0.7854486868610826
rmsd_before=13.412289464210144, rmsd_after=0.5653035376989354
rmsd_before=13.415973448096157, rmsd_after=0.7142740268058937
rmsd_before=13.521833009562894, rmsd_after=0.496204504795217
rmsd_before=13.565380649053294, rmsd_after=0.6302560759935965
rmsd_before=13.582631222934507, rmsd_after=0.48304661797013737
rmsd_before=13.688631073419163, rmsd_after=0.5559520001165699
rmsd_before=13.61631871885801, rmsd_after=0.5232882042423813
rmsd_before=13.613496215691129, rmsd_after=0.44747917881527266
rmsd_before=13.450277076771798, rmsd_after=0.25702882699724094
rmsd_before=13.368112790908521, rmsd_after=0.48248000807231584
rmsd_before=13.311552656419058, rmsd_after=0.4908177839385496
rmsd_before=13.243678727466405, rmsd_after=0.6546488153038225
rmsd_before=13.435756662336766, rmsd_after=0.8278705936311008
rmsd_before=13.403643193194553, rmsd_after=0.722663947369664
rmsd_before=13.587413527245593, rmsd_after=0.908610666055469
rmsd_before=13.599829902969397, rmsd_after=0.801927650274
rmsd_before=13.70730697264299, rmsd_after=0.8848107293893964
rmsd_before=13.875094404767818, rmsd_after=1.0105846514753924
rmsd_before=13.672984116403144, rmsd_after=1.0882336498145615
rmsd_before=13.481443959310807, rmsd_after=1.1792420391373337
rmsd_before=13.26060796230544, rmsd_after=1.1270416560955527
rmsd_before=13.060229812591103, rmsd_after=1.125026417383495
rmsd_before=12.879802493673221, rmsd_after=1.0293108886981626
rmsd_before=12.68804362811096, rmsd_after=0.9750186012800941
rmsd_before=12.516462153382443, rmsd_after=0.9203611101230955
rmsd_before=12.246050938870145, rmsd_after=0.9710259331219641
rmsd_before=12.21330806615987, rmsd_after=0.9281192304243366
rmsd_before=12.390392092454675, rmsd_after=0.9248787044622355
rmsd_before=12.549520768618507, rmsd_after=0.8768529242349241
rmsd_before=12.757329719623156, rmsd_after=0.8700951863659498
rmsd_before=12.937902687734725, rmsd_after=0.8166905584254102
rmsd_before=13.180636670557421, rmsd_after=0.8053240795077371
rmsd_before=13.39481879201071, rmsd_after=0.7343384623234231
rmsd_before=13.496529238997496, rmsd_after=0.8582638646017496
rmsd_before=13.610701429798675, rmsd_after=0.974068547661542
rmsd_before=13.728609343800276, rmsd_after=1.0802927301285483
rmsd_before=13.885520733017897, rmsd_after=1.1285001201702844
rmsd_before=14.086470735633156, rmsd_after=1.135676409807831
rmsd_before=14.206093742055081, rmsd_after=1.1937800364349958
rmsd_before=14.230002152317711, rmsd_after=1.1574843313363676
rmsd_before=14.378502972979172, rmsd_after=1.2100803190113076
rmsd_before=14.386496088443295, rmsd_after=1.17014883373032
rmsd_before=14.519252482202488, rmsd_after=1.1503456011818376
rmsd_before=14.637926347338805, rmsd_after=1.1114099331004064
rmsd_before=14.79344865295453, rmsd_after=1.1197175488469113
rmsd_before=14.882062271526772, rmsd_after=1.1167394981933032
rmsd_before=14.946283533283214, rmsd_after=1.1603816149842987
rmsd_before=15.06916330458142, rmsd_after=1.1155525252055203
rmsd_before=15.14326551209118, rmsd_after=1.1065083590696014
rmsd_before=15.258537792703397, rmsd_after=1.0055536076944502
rmsd_before=15.341395775383207, rmsd_after=1.0048598964997175
rmsd_before=15.40670449266009, rmsd_after=0.9440507180242623
rmsd_before=15.497792363949516, rmsd_after=0.968402216120791
rmsd_before=15.503968924389625, rmsd_after=0.9629726336875395
rmsd_before=15.262164246227304, rmsd_after=1.0145153150331165
rmsd_before=15.030544531084567, rmsd_after=1.083404425738935
rmsd_before=15.026961660502328, rmsd_after=1.0040738881668099
rmsd_before=15.002317698587618, rmsd_after=0.9569427171007255
rmsd_before=14.874096254260609, rmsd_after=0.9978054617400512
rmsd_before=14.963896169875103, rmsd_after=1.0076025345696173
rmsd_before=15.017621715355192, rmsd_after=0.93065266489648
rmsd_before=15.127785492855605, rmsd_after=0.9251766255853988
rmsd_before=15.224673971868269, rmsd_after=0.8197853692571689
rmsd_before=15.353139152494832, rmsd_after=0.8297972680641319
rmsd_before=15.475493285796885, rmsd_after=0.7129384837807164
rmsd_before=15.616900328629901, rmsd_after=0.7689639918127761
rmsd_before=15.739558755805529, rmsd_after=0.6810888136681009
rmsd_before=15.887503648384355, rmsd_after=0.7944320267929331
rmsd_before=15.762285280133137, rmsd_after=0.9784961692397285
rmsd_before=15.54794804862187, rmsd_after=0.9630086643232243
rmsd_before=15.392650288524868, rmsd_after=1.0829822714550181
rmsd_before=15.156889038229973, rmsd_after=1.0888773842025563
rmsd_before=15.034026015630406, rmsd_after=1.1218777851495947
rmsd_before=14.863358198673446, rmsd_after=1.1307013602015223
rmsd_before=15.053835485401041, rmsd_after=1.0320118156543798
rmsd_before=15.132416398321801, rmsd_after=1.0029462342578745
rmsd_before=15.1729161008683, rmsd_after=1.0885760642953382
rmsd_before=15.254084112351837, rmsd_after=1.0515005070937218
rmsd_before=15.35867369807561, rmsd_after=1.233296048723729
rmsd_before=15.373675328742248, rmsd_after=1.076236431471077
rmsd_before=15.292435136151289, rmsd_after=1.1208889162971591
rmsd_before=15.247473009648278, rmsd_after=1.066589949414511
rmsd_before=15.196419947510389, rmsd_after=0.9663662982996606
rmsd_before=15.094767942492206, rmsd_after=0.9448047087314054
rmsd_before=14.853095297445167, rmsd_after=1.0705094916717648
rmsd_before=14.529720385294308, rmsd_after=0.9520257221880701
rmsd_before=14.347521885844506, rmsd_after=1.0189251156938064
rmsd_before=14.412650014878313, rmsd_after=0.972998806556844
rmsd_before=14.59916808844423, rmsd_after=0.9764900896863633
rmsd_before=14.691553822019708, rmsd_after=0.9919350820011251
rmsd_before=14.88192862533478, rmsd_after=0.9403002874079779
rmsd_before=15.017829447567024, rmsd_after=0.9017549983912477
rmsd_before=15.206176163351056, rmsd_after=0.7990407097544545
rmsd_before=15.34921917921417, rmsd_after=0.8205772570893314
rmsd_before=15.39450051070147, rmsd_after=0.9333047684860405
rmsd_before=15.527964183244183, rmsd_after=0.9813503648220614
rmsd_before=15.705808477946173, rmsd_after=1.0850364086376263
rmsd_before=15.66994588732808, rmsd_after=1.0762655415405806
rmsd_before=15.506889895963237, rmsd_after=0.922912631059123
rmsd_before=15.457836413317134, rmsd_after=0.8663740043778337
rmsd_before=15.629359389516406, rmsd_after=1.0114501724117566
rmsd_before=15.66059091001871, rmsd_after=1.0472139793051998
rmsd_before=15.842460182207857, rmsd_after=0.9507607849225742
rmsd_before=15.853411859391047, rmsd_after=0.9490933553236618
rmsd_before=15.82265080074703, rmsd_after=0.817694007567144
rmsd_before=15.889475508490813, rmsd_after=0.5140345253133559
rmsd_before=16.010991571812962, rmsd_after=0.6195875090246157
rmsd_before=16.026857182959535, rmsd_after=0.8042797272610576
rmsd_before=16.055756688517885, rmsd_after=0.9446767342896385
rmsd_before=16.135693742012005, rmsd_after=1.060532962602724
rmsd_before=16.123616266367232, rmsd_after=1.1334673803813227
rmsd_before=16.39307934521496, rmsd_after=1.1276574366972372
rmsd_before=16.542455286680692, rmsd_after=1.1194279355918926
rmsd_before=16.77697397735093, rmsd_after=1.079527716043714
rmsd_before=16.95472424346268, rmsd_after=0.870788450299397
rmsd_before=17.10784855978701, rmsd_after=0.9633088678184666
rmsd_before=17.29469284925656, rmsd_after=0.8950898610183813
rmsd_before=17.450153477966577, rmsd_after=0.9448267058470826
rmsd_before=17.253988718028182, rmsd_after=1.080603602115341
rmsd_before=17.314858692220295, rmsd_after=1.2383378076900597
rmsd_before=17.385283979524512, rmsd_after=1.1634005113908226
rmsd_before=17.517200843011477, rmsd_after=1.2908744935696075
rmsd_before=17.51872524508066, rmsd_after=1.222052145644965
rmsd_before=17.604670578488175, rmsd_after=1.2679057717650555
